business_family;business_unit;costumer;costumerkey;costumer_type;division;line_of_business;phone;region_code;regional_sales_mgr;search_type;division_name;region_name;address_number;city;country;costumer_address_1;costumer_address_2;costumer_address_3;costumer_address_4;state;zip_code;PK_CLIENTE
R3;1;City Supermarket;10000000;G2;2;\"\";816-455-8733;4;S16;C;Domestic;Central;10000000;Akron;US;PO Box 6258;\"\";\"\";\"\";OH;44312;b6f49d60b7c0371201a09966959b88d90f8fffa071f0e52a1cf1cdd5dcc3e6ba
R3;1;A Supermarket;10000453;G1;1;\"\";816-455-8733;5;S19;C;International;International;10000453;\"\";UK;\"\";\"\";\"\";\"\";"";"";4646f2e6f1bf7f69745c487fae0e18121b363ebd50a1449a87ce2d7e0c6b4439
R3;1;Caribian Supermarket;10000455;G2;2;\"\";816-455-8733;1;S16;C;Domestic;Western;10000455;Huntington Beach;US;7392 Count Circle;\"\";\"\";\"\";CA;92647;1a64c6f40b507fd3d68326e8ed1efb29db8c040751d1f5e46741089d4eb453c4
R1;1;A&B Shop;10000456;G3;1;\"\";816-455-8733;0;S2;C;International;Canada;10000456;Edmonton;CA;8151 Wagner Road;\"\";\"\";\"\";AB;"";5530b33485af6018cd56aa9926d2043034082d41d39c2a768adc81a6fb6c6b7d
O2;1;A&G Shop;10000457;G1;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";9582e880e0a188f5ea96867ab1fd9145c6d199060638bdc5cfab55bc812f1a81
R3;1;A&R Market;10000458;G2;2;\"\";816-455-8733;4;S9;C;Domestic;Central;10000458;Saginaw;US;PO Box 840;\"\";\"\";\"\";MI;48606;6801c08d664e91f1068f27719b06053419a92f9452aac907d7f68fc46b6abd06
R3;1;Meals Market;10000460;G2;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10000460;Goodlettsville;US;709 Rivergate Parkway;\"\";\"\";\"\";TN;37072;b60eea5c42a0cadcc4ec56d33d320bd410e56f0745d36872f3198956bfee8c7c
R1;1;A1 Store;10000461;G3;1;\"\";816-455-8733;0;S2;C;International;Canada;10000461;Boucherville;CA;1391 Gay Lussac;\"\";\"\";\"\";QU;"";db41c7a6979f4a8da68abb62419e31d83f8cce8e4f94d3174a1c72da1b7fae79
R3;1;a2i Shop;10000462;G2;2;\"\";816-455-8733;4;S1;C;Domestic;Central;10000462;Hazelwood;US;6311 North Lindbergh Boulevard;\"\";\"\";\"\";MO;63042;74cb62d48ee2de4d2e619be6ae77e9d887cfadb3c338d22cc0230bfc588f9d57
R3;1;A2Z Store;10000466;G2;2;\"\";816-455-8733;1;S16;C;Domestic;Western;10000466;North Highlands;US;3213 Orange Grove Avenue;\"\";\"\";\"\";CA;95660;2788ba37aa53fff05f644ba9a47de76a5da00c1ee3559a420ebcc24d7ac59bfa
R3;1;A-2-Z Supermarket;10000469;G3;1;\"\";816-455-8733;0;S5;C;International;Canada;10000469;Montreal;CA;Attention:  Accounts Payable;7025 Ontario Street East;\"\";\"\";QU;"";966fc6dc4d53a8d45c384209a5feb6226b35ccb95e3180422f26b56e81cd6824
R3;1;Aadast Shop;10000471;G1;1;M1;816-455-8733;5;S19;C;International;International;10000471;Jeddah;AU;Al Thalia Street;PO Box 11605;\"\";\"\";"";11443;395b1ae22b003757691023a908f1ea16e18baae37a46168cdd91be2149bb8bdf
R3;1;Aaron Store;10000472;G2;2;\"\";816-455-8733;1;S4;C;Domestic;Western;10000472;Van Nuys;US;8000 Haskell Avenue;\"\";\"\";\"\";CA;91406;0e943ca09d9d116b82f2033cf8f722e81705cc9efcfc43065c016930f86ef537
R3;1;Aaron Supermarket;10000473;G2;2;\"\";816-455-8733;1;S16;C;Domestic;Western;10000473;Rancho Cordova;US;3290 Monier Circle #100;\"\";\"\";\"\";CA;95742;acbf76912ffd0d605f583bd2ee42db9b217dd0f66e7ffc490cbd48364eeb327f
R2;1;A-ARVIN Store;10000474;G2;2;\"\";816-455-8733;4;S9;C;Domestic;Central;10000474;Des Moines;US;PO Box 3265;\"\";\"\";\"\";IA;50316;0537901ee1ac87188055b749c8adcb55c56a5e2e6c18ccb44d69e05886aefa82
R3;1;AA-Wizard Shop;10000475;G2;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10000475;Charlotte;US;5745 N Tryon Street;\"\";\"\";\"\";NC;28213;8396b75d69565985d2402796b1be386d346ecb8a68ee84da76995c45579f15d2
R3;1;Abacus Market;10000478;G2;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10000478;Little Rock;US;8120 E Doyle Springs Road;\"\";\"\";\"\";AR;72209;b940e734d1b2ac8f2f514ae5c8409d03cbf7e90a60aa09727b7d2ea77546e10f
