PK_CLIENTE,costumerkey,address_number,business_family,business_unit,city,costumer,costumer_address_1,costumer_address_2,costumer_address_3,costumer_address_4,costumer_type,country,division,division_name,line_of_business,phone,regional_sales_mgr,search_type,state,zip_code
00a09a84d241d21960f0c160b80afe30fb0e5750f695668ed60e35a41581e1df,10022962,0,R3,1,Não informado,Reflex Store,Não informado,Não informado,Não informado,Não informado,G1,Não informado,1,International,M1,816-455-8733,S19,C,Não informado,0
012904cc4695bc943c5b0c55d46766d75c9ece77fa789e7d311011381a29ab56,10020340,0,R3,1,Não informado,Melville Supermarket,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S4,C,Não informado,0
014dead0e94190d7e59cf812cca775c5149ce105e12fefc6156bc574f9c6cbc6,10027560,10027560,R2,1,Odessa,Zilog Shop,3356 Kermit Highway,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,C,TX,79764
01780230def400f7defade86be1bb03ed3c8b36547edf79c5706194cf88af77e,10026839,10026839,R3,1,Greenwood,Xtreme Shop,1201 Sycamore Avenue,Não informado,Não informado,Não informado,G2,US,2,Domestic,M1,816-455-8733,S16,C,MS,38930
01c779b84ca71069dbba4dce145f0342256e8ad48dd1d7a0abce510fd1377166,10027629,10027629,O2,1,Dearborn,Zocalo Shop,Central Accounting Service,PO Box 6005,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S12,C,MI,48121
01ce6017c99a8ce5377cc24686f1d4735b5a6f72a60309fbc733c51f400f6565,10009650,10009650,R3,1,La Paz,Dayton Store,Plaza Venezuela 1413-1425,Não informado,Não informado,Não informado,G1,UK,1,International,M1,816-455-8733,S16,C,Não informado,0
0211d0e745788c7a8e01ec8d059941bc5408560188dae3ec766296f88fa3480e,10002136,0,R3,1,Não informado,AccessWare Shop,Não informado,Não informado,Não informado,Não informado,G1,Não informado,1,International,M1,816-455-8733,S20,C,Não informado,0
0231d16bca1d602fb6b46d1b0b3e36571478308dae7b2d896eb80382361431c0,10020332,0,R3,1,Não informado,Medics Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S16,C,Não informado,0
024b44bff4d1ce468b3af0202120fad9f29c622b5a16b7048e17618c92ea3cd4,10025238,10025238,R3,1,San Diego,Team Supermarket,4567 Federal Boulevard,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S4,C,CA,92102
02d9f9bca9267531adce0494baac98d86d5025aa0f48a46d7fb90c38f152a9fd,10010974,10010974,R2,1,Chippewa Falls,EDS Shop,13296 County Highway 00,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S9,C,WI,54729
030cdaec3de41838add8fe9a94461d07385828e9950914be1873bc251e41d686,10021412,10021412,R4,1,Clackamas,Panngea Shop,13101 SE 84th ave,Suite B,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S18,C,OR,0
040d2cb20227f0fe20ffe937a17688ee466ced32c02c2728573fe5d99ce5d6bd,10006917,0,R3,1,Não informado,Borden Supermarket,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S1,C,Não informado,0
041f26d942c48814233bceaed936984c4b3cd4e3b2ffa7c14514407a7e20ca7c,10004302,10004302,R3,1,Baton Rouge,Berkeley Supermarket,9555 Airline Highway,Não informado,Não informado,Não informado,G2,US,2,Domestic,M1,816-455-8733,S1,C,LA,70815
04367bfe96a088651e04fb60264cbc0e64b2f1c83c5c6f40af95e1f253c999d8,10014546,10014546,R3,1,Phoenix,Hauppauge Supermarket,Division of Western Truck Sales Inc,3530 East Washington Street,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,AZ,85034
